,question,answer
0,<pad> question: What is the name of the angiogram that shows the four phases of vascular opacification?</s>,[STARTUP]
1,<pad> question: What is a common complication of embolization?</s>,Air embolism
2,<pad> question: What is SVC?</s>,superior vena cava (s Vc)
3,<pad> question: What is the role of interventional radiology in gastrointestinal bleeding?</s>,Hepatic artery aneurysmMesenteric ischemiaAcute mesenteric ischemiaChronic mesenteric ischemiaGastrointestinal (GI) bleeding
4,<pad> question: What is the name of the disease that causes the appearance of the renal arteries?</s>,Atherosclerotic renal artery stenosisFibromuscular dysplasia (FMD)Neurofibromatosis
5,<pad> question: What is AML?</s>,OncocytomaAngiomyolipoma (AML)
6,<pad> question: What was the grade Iv injury?</s>,Renal traumaRenal arteriovenous fistulas and malformations
7,<pad> question: What is the name of the syndrome?</s>,Nutcracker syndromeMay–Thürner
8,<pad> question: What is the name of the vein that is likely retroaortic?</s>,Varicocele
9,<pad> question: What is the name of the procedure that is performed to check for biliary disease?</s>,Percutaneous transhepatic cholangiography (Ptc)
10,<pad> question: What is the name of the disease that causes a klatskin tumor?</s>,Sclerosing cholangitisMalignant biliary obstruction
11,<pad> question: What is the name of the condition that is caused by calculous cholecystitis?</s>,Acute cholecystitis
12,<pad> question: What is the PCN?</s>,Percutaneous nephrostomy indications and technique
13,<pad> question: What is the name of the disease that causes a thrombus of the aorta?</s>,Iliac atherosclerotic disease
14,<pad> question: What is the name of the enlarged left internal iliac artery?</s>,Persistent sciatic artery
15,<pad> question: What is the type of occlusion?</s>,Chronic arterial occlusive diseaseFemoropopliteal disease
16,<pad> question: What is the name of the thoracic outlet syndrome?</s>,Acute thromboembolic diseasePopliteal aneurysmnonatherosclerotic lower extremity arterial diseaseBuerger diseasePopliteal entrapment syndromeCystic adventitial disease
17,<pad> question: What is the clinical evaluation of?</s>,surgical dialysis access
18,<pad> question: What is used to determine the occlusion of the ulnar artery?</s>,Hypothenar hammer
19,<pad> question: What is the name of the disease that is caused by a thromboembolic disease?</s>,Buerger diseaseRaynaud diseaseThromboembolic disease
20,<pad> question: What is the term for angiography of the celiac trunk?</s>,Thoracic Angiography:
21,<pad> question: What are the two main types of interventions?</s>,Splenic and Renal Arteries:
22,<pad> question: What is the term for a gastrointestinal bleeding that is resistant to endoscopic treatment?</s>,Nonvariceal GI Bleeding:
23,<pad> question: What is the name of the procedure that is performed with Extensions of the Technique?</s>,Percutaneous Nephrostomy:
24,<pad> question: What is the name of the procedure used to diagnose thorac outlet syndrome?</s>,Lower Extremity Angiography:
25,<pad> question: What type of pathology can be seen on a lateral neck radiograph?</s>,Anatomy
26,<pad> question: What is the name of the disease that causes the choanae to be blocked?</s>,Choanal atresiaJuvenile nasopharyngeal angiofibroma (JNA)Nasal rhabdomyosarcoma
27,<pad> question: What is the name of the aspirated foreign body in croup?</s>,EpiglottitisCroup (laryngotracheobronchitis)Aspirated foreign bodyRetropharyngeal abscess
28,<pad> question: What is the name of the condition that causes a tracheal collapse?</s>,Subglottic hemangiomaLaryngeal papillomatosisTracheal stenosisTracheobronchomalacia
29,<pad> question: What is the lateral esophagram showing?</s>,Right arch with aberrant left subclavian artery
30,<pad> question: What is the term for a newborn's tachyhypnea?</s>,Transient tachypnea of the newborn (TTN)
31,<pad> question: What is the name of the condition in which a baby is given extracorporeal membrane oxygenation?</s>,Neonatal pneumonia
32,<pad> question: What is the name of the condition that affects the left lower lobe?</s>,Bronchial atresia
33,<pad> question: What is the term for?</s>,Sequestration
34,<pad> question: What is the name of the disease that causes small airways to be swollen?</s>,small airways diseaseBronchiolitis
35,<pad> question: What is the name of the bronchial wall thickening?</s>,Poland syndrome
36,<pad> question: What is the only historical interest?</s>,Approach to the plain film of congenital heart disease
37,<pad> question: What is the cause of CHF?</s>,Hypoplastic left heart (HLH)Extracardiac shunt causing CHF
38,<pad> question: What is another name for AV canal defect?</s>,Atrial septal defect (ASD)Ventricular septal defect (VSD)
39,<pad> question: What is an Ebstein anomalyyanotic?</s>,Ebstein anomalyyanotic: Increased pulmonary vascularity (admixture “t” lesion
40,<pad> question: What is the name of the aortic coarctation?</s>,Tricuspid atresiaTruncus arteriosusAortic coarctationcardiac massesRhabdomyomaTeratomaFibromaHemangioma
41,<pad> question: What is the most prominent bowel lucencies in a neonate?</s>,GI emergencies
42,<pad> question: What is the term for a pyloric stenosis?</s>,Appendicitis
43,<pad> question: What are two other signs of stenosis?</s>,Malrotation and midgut volvulus
44,<pad> question: What is the cause of a microcolon?</s>,congenital low/distal bowel obstruction
45,<pad> question: What is the name of the condition that causes Hirschsprung disease?</s>,Ileal atresia/colonic atresia
46,<pad> question: What is Crohn disease?</s>,AppendicitisInguinal herniaCrohn disease
47,<pad> question: What is the name of the hepatitis that is not present in neonates?</s>,Imperforate anus
48,<pad> question: What is the name of the mass that forms a claw sign around the liver?</s>,cystic Liver/biliary massesMesenchymal hamartoma
49,<pad> question: What is the term for a tumor that is a heterogeneous mass?</s>,Hepatocellular carcinoma (HCC)
50,<pad> question: What type of meckel contains ectopic gastric mucosa?</s>,Meckel diverticulum
51,<pad> question: What are two types of calcifications?</s>,Abdominal calcificationHydronephrosis and Hydroureter
52,<pad> question: What is the term for bladder outlet obstruction?</s>,Posterior urethral valves (bladder outlet obstruction)Prune belly syndromeUreterocele (UVJ obstruction)
53,<pad> question: What is the name of the disease that causes a simple renal cyst?</s>,Multicystic dysplastic kidney (MCDK)Simple renal cystMultilocular cystic nephromaAutosomal recessive polycystic kidney disease (ARPKD)
54,<pad> question: What is RCC?</s>,Renal cell carcinoma (RCC)Rhabdoid tumorClear cell sarcomaRenal metastases
55,<pad> question: What is the name of the disease?</s>,Mesoblastic nephromaNephroblastomatosis
56,<pad> question: What is AML?</s>,Angiomyolipoma (AML)
57,<pad> question: What is the name of the disease that causes the right paradiaphragmatic contour to be abnormal?</s>,Neuroblastoma
58,<pad> question: What are two types of cancers?</s>,Ganglioneuroma and ganglioneuroblastomaAdrenal hemorrhage (in neonates)Adrenal cortical carcinoma
59,<pad> question: What is the name of the fracture that is not displaced?</s>,Sacrococcygeal teratoma
60,<pad> question: What is the angled buckle fracture?</s>,Radial buckle fracture
61,<pad> question: What is the condition that has multiple Wormian bones?</s>,Cleidocranial dysostosis
62,<pad> question: What is the name of the type of mucopolysaccharidose?</s>,EnchondromatosesMucopolysaccharidoses
63,<pad> question: What is the same aseptic toxic synovitis?</s>,Septic hip arthritis
64,<pad> question: What is the name of the disease that is caused by a tumor?</s>,Osteosarcoma
65,<pad> question: What is the term for a sclerotic lesion of the distal tibia?</s>,Ewing sarcoma
66,<pad> question: What is eosinophilic granuloma?</s>,Osseous Langerhans cell histiocytosis (LCH)
67,<pad> question: What is a rickets diagnosis?</s>,Chronic recurrent multifocal osteomyelitis (CRMO)Rickets
68,<pad> question: What is the name of the disease that causes juvenile rheumatoid arthritis?</s>,Syphilis
69,<pad> question: What is the term for the development of the hip?</s>,Developmental dysplasia of the hip (DDH)
70,<pad> question: What is the name of the lunotriquetral coalition?</s>,Blount diseaseTorticollisTarsal coalitionCarpal coalition
71,<pad> question: What is normal development?</s>,normal development
72,<pad> question: What is the name of the malformation in a different patient?</s>,Chiari I malformation
73,<pad> question: Who courtesy of Boston Children's Hospital?</s>,Dandy Walker
74,<pad> question: What is the name of the disease that causes NF2?</s>,Neurofibromatosis 2 (NF 2)
75,<pad> question: What is the name of the malformations in the midbrain?</s>,Midbrain malformationsJoubert and related syndrome
76,<pad> question: What is the name of the chest that is a part of the newborn?</s>,Pediatric Chest:
77,<pad> question: What is the name of the pediatric disease that affects the gastrointestinal tract?</s>,Pediatric Gastrointestinal:
78,<pad> question: What is the specialty of Upper Extremity Injuries?</s>,Pediatric Musculoskeletal:
79,<pad> question: What is the field of neuroimaging that has advanced in holoprosencephaly?</s>,Pediatric Neuroimaging:
80,<pad> question: What is the name of the allergictype acute contrast reactions?</s>,[STARTUP]
81,<pad> question: What is the name of the type of media that is used in contrast media reaction?</s>,Iodinated contrast media reaction
82,<pad> question: What is the difference between iodinated contrast and pheochromocytoma?</s>,Prevention of contrast nephropathyIodinated ct contrast: General considerations
83,<pad> question: What are some of the issues with gadoliniumbased contrast?</s>,Iodinated contrast and breast feedingContrast extravasationImmediate adverse reactions to gadoliniumbased contrastContrast extravasationdoliniumbased contrast in pregnancy and breastfeedingGadoliniumbased contrast and breast feeding
84,<pad> question: What is the name of the non-SI units?</s>,SI (Système International) unitsNonSI unitsX-ray generator
85,<pad> question: What is used to determine the signal intensity of a voxel?</s>,CT dosimetry
86,<pad> question: What is the subject of atelectasis?</s>,Anatomy
87,<pad> question: What is the name of the right upper lobe atelectasis?</s>,Right upper lobe atelectasis
88,<pad> question: What is the name of the condition that is characterized by a triangular retrocardiac opacity?</s>,Right lower lobe atelectasis
89,<pad> question: What is the name of the condition that is characterized by a rounded opacity in the medial right lower lobe?</s>,round atelectasis
90,<pad> question: What is the distribution of the lesions?</s>,Random nodules:
91,<pad> question: What is the split pleura sign?</s>,clinical classification of pneumoniaHospital acquired pneumonia (HAP)Health care associated pneumonia (HCAP)Ventilator associated pneumonia (VAP)Pneumonia in the immunocompromised patientradiographic patterns of infectionLobular pneumonia (bronchopneumonia)Round pneumoniaPulmonary abscessPulmonary gangreneEmpyemaPneumatoceleBronchopleural fistula (BPF)
92,<pad> question: What is the name of the disease that causes the patient to develop TB?</s>,Primary tuberculosis
93,<pad> question: What is the right side of TB?</s>,"Tuberculous adenopathy: Contrast-enhanced
neck CT shows marked rightsided adenopathy
(arrows) with peripheral enhancement and
central necrosis."
94,<pad> question: What is the name of the hematogenous seeding of tuberculosis?</s>,Miliary tuberculosis
95,<pad> question: What are two examples of mycobacteria infections?</s>,Atypical mycobacteria infectionHistoplasma capsulatumCoccidioides immitis and Blastomyces dermatitidis
96,<pad> question: What is the name of the pneumonia with cystic change?</s>,Pneumocystis jiroveci pneumonia
97,<pad> question: What is the opacity of the left upper lobe cavity indicating?</s>,A����������Saprophytic aspergillosis (aspergilloma)
98,<pad> question: What is the name of the disease that causes a cavitary lesion in the right upper lung?</s>,Airwayinvasive aspergillosisAngioinvasive aspergillosis
99,<pad> question: What is mild?</s>,Pulmonary edema
100,<pad> question: What is the PICC?</s>,Pulmonary artery catheter
101,<pad> question: What is a histologic subtype of lung cancer?</s>,Histologic subtypes of lung cancerAdenocarcinoma
102,<pad> question: What is a nonmucinous BAC?</s>,Bronchioloalveolar carcinoma (BAC)
103,<pad> question: What type of tumor is a mucinous BAC important differential consideration for?</s>,Small cell carcinomaLarge cell carcinomaCarcinoid tumor
104,<pad> question: What is the name of the tumor that is visible on CT?</s>,"Lymphangitic carcinomatosis
_J:_______:"
105,<pad> question: What is the name of the treatment for lung cancer?</s>,Pneumothoraxstaging of lung cancer
106,<pad> question: What is the definition of?</s>,Pulmonary hypertension
107,<pad> question: What is the WHO group 1 for?</s>,"Pulmonary hypertension due to leftto-right cardiac shunts – WHO group 1, precapillary"
108,<pad> question: What is PE?</s>,Pulmonary embolism (PE)
109,<pad> question: What is the name of the type of pneumonia?</s>,Idiopathic interstitial pneumonias
110,<pad> question: What is the term for chronic HSP?</s>,Hypersensitivity pneumonitis (HSP)
111,<pad> question: What is the name of the condition that causes pulmonary eosinophilia?</s>,PneumoconiosesSimple pulmonary eosinophilia (Löffler syndrome)Chronic eosinophilic pneumoniaPulmonary vasculitisChurg–Strauss
112,<pad> question: What is the cause of the patient's pulmonary injury?</s>,Drug toxicityRadiation lung injury
113,<pad> question: What is the name of the disease that causes adenopathy to occur?</s>,Sarcoidosis
114,<pad> question: What is the anatomy of the mediastinum?</s>,Anatomy of the mediastinum
115,<pad> question: What is a teratoma?</s>,Germ cell tumor (GCT)
116,<pad> question: What is the name of the adenopathy that causes a mass to be in continuity with the soft tissues of the neck?</s>,LymphomaNonlymphomatous adenopathy
117,<pad> question: What is the name of the disease that causes precardiac anterior mediastinal masses?</s>,Castleman disease
118,<pad> question: What is the name of the cyst that is a paraspinal abscess?</s>,Foregut duplication cystPosterior mediastinal massNeurogenic tumorDescending thoracic aortic aneurysmLateral meningoceleEsophageal neoplasmForegut duplication cystParaspinal abscess
119,<pad> question: What is the term for a tracheal thickening that is not specific to TB?</s>,Amyloidosis
120,<pad> question: Behçet and Crohn disease are two examples of what?</s>,Rare causes of focal tracheal stenosisLarge airwaysBronchiectasis
121,<pad> question: What is the name of the condition that causes tracheobronchomegaly?</s>,Broncholithiasis
122,<pad> question: What is the predominant emphysema in the upper lobes?</s>,Centrilobular emphysemaParaseptal emphysema
123,<pad> question: What is the term for a tracheal filling defect?</s>,Airway tumorsSquamous cell carcinoma (SCC)
124,<pad> question: What type of cancer is tracheal adenoid cystic carcinoma?</s>,Carcinoid
125,<pad> question: What is the term for a malignant tumor that invades the central airways?</s>,Tracheal lymphomaEndobronchial metastasis
126,<pad> question: What is the name of the disease that causes multiple myeloma?</s>,MesotheliomaMetastasesMultiple myeloma/plasmacytoma
127,<pad> question: What is the term for a pleural effusion?</s>,Pleural effusionTransudateExudate
128,<pad> question: What is the spectrum of Aspergillosis?</s>,Pulmonary infection:
129,<pad> question: What are two areas of concern for a pregnant patient with suspected pulmonary embolism?</s>,Pulmonary edema and ICU imaging:
130,<pad> question: High-resolution CT of the lung: patterns of disease and what?</s>,Diffuse lung disease:
131,<pad> question: What is the anterior part of the brain that is evaluated by CT?</s>,Mediastinum:
132,<pad> question: What type of mesothelioma is a malignant one?</s>,Pleura:
